@relation SelectedFeatures_excel

@attribute C {C1,C2,C3,C4,C5,C6,C7,C8}
@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric

@data
C1,0.53294,0.594803,0.742793,0.355154,0.513635,0.436119,0.740992,0.714055,0.399933,0.53294,0.623612,0.767678,0.523761,0.491968,0.698963,0.531232,0.532975,0.273961,0.323947,0.652221,0.544779,0.649348,0.069903,0.001236,0.000199,0.000406,0.787465,0.205101,0.787465,0.205101,0.228192,0.231482,0.287634,0.235309,0.234931,0.327303,0.247024,0.14739,0.292576,0.2233,0.281202,0.240575,0.206076,0.226025,0.1222,0.142555,0.17555,0.172608,0.228262,0.184545,0.144199,0.415819,0.171949,0.502436,0.616757,0.607176,0.53278,0.717125
C1,0.527062,0.753292,0.919366,0.357161,0.557132,0.584888,0.703627,0.890451,0.456245,0.527062,0.674997,0.919664,0.691219,0.527118,0.987505,0.591246,0.799602,0.232944,0.272441,0.836808,0.350768,0.616197,0.046374,0.000452,0.00037,0.000315,0.727341,0.144082,0.727341,0.144082,0.302015,0.332428,0.375623,0.274579,0.263971,0.392347,0.235068,0.235103,0.400041,0.186115,0.440527,0.19324,0.412375,0.157788,0.082357,0.050941,0.271122,0.09927,0.344857,0.176104,0.185446,0.313527,0.144453,0.670746,0.460154,0.666524,0.460837,0.658597
C1,0.440966,0.75451,0.375788,0.362871,0.55182,0.56422,0.701046,0.71712,0.405098,0.440966,0.544872,0.501624,0.728328,0.40947,0.355371,0.376305,0.636787,0.228147,0.270761,0.54411,0.572983,0.654085,0.046918,0.000092,0.000922,0.000916,0.790316,0.030669,0.790316,0.030669,0.17363,0.252149,0.237929,0.274079,0.266222,0.268129,0.206508,0.165559,0.244515,0.171221,0.393072,0.23637,0.221159,0.192402,0.114071,0.1127,0.16944,0.132641,0.246689,0.357889,0.168189,0.372405,0.220002,0.395365,0.704808,0.505881,0.424461,0.821693
C1,0.741648,0.788094,0.728345,0.742905,0.850225,0.921114,0.913175,0.686653,0.799024,0.741648,0.742334,0.708832,0.755039,0.894067,0.650786,0.693472,0.702382,0.237536,0.248418,0.843137,0.134509,0.022818,0.053227,0.000021,0.001409,0.00002,0.598931,0.004483,0.598931,0.004483,0.481881,0.552876,0.543169,0.425827,0.486358,0.690889,0.560094,0.147045,0.691142,0.496257,0.626199,0.562242,0.345151,0.333097,0.286101,0.146967,0.294876,0.286799,0.588677,0.293994,0.289785,0.601429,0.154587,0.45168,0.548773,0.742472,0.342901,0.520361
C1,0.509929,0.782173,0.744349,0.224096,0.371955,0.369548,0.683074,0.707184,0.29661,0.509929,0.516909,0.898581,0.614129,0.411221,0.794948,0.463472,0.715161,0.273687,0.3103,0.686139,0.560468,0.535711,0.061064,0.001049,0.001812,0.000247,0.81344,0.227078,0.81344,0.227078,0.188291,0.223304,0.267524,0.160717,0.09774,0.173446,0.092816,0.200846,0.211718,0.092888,0.194197,0.079932,0.319272,0.110858,0.00856,0,0.144916,0.059708,0.142306,0.12684,0.122338,0.205466,0.271843,0.63007,0.474416,0.489889,0.685102,0.786525
C1,0.61985,0.445336,0.65787,0.604465,0.830596,0.772531,0.723645,0.424723,0.611468,0.61985,0.728776,0.438236,0.48149,0.671148,0.66215,0.573774,0.684417,0.249152,0.318858,0.643105,0.210594,0.587787,0.080886,0.000319,0.000091,0.000631,0.608711,0.033599,0.608711,0.033599,0.414673,0.409468,0.459753,0.643443,0.636605,0.622932,0.52117,0.409383,0.487653,0.444992,0.532193,0.529318,0.356399,0.35308,0.315069,0.300603,0.337287,0.312722,0.435255,0.351786,0.398747,0.658676,0.111145,0.399219,0.551348,0.831872,0.344806,0.442627
C1,0.458464,1,0.476824,0.389573,0.681613,0.426285,0.768657,0.663542,0.332661,0.458464,0.867846,0.481393,1,0.341663,0.645852,0.343781,0.822567,0.245297,0.301964,0.548186,0.582703,0.573582,0.051408,0.001076,0.000276,0.000049,0.798886,0.309691,0.798886,0.309691,0.207056,0.231576,0.280886,0.206657,0.172106,0.206184,0.118103,0.289038,0.264468,0.120081,0.300034,0.151272,0.464067,0.136025,0,0.082989,0.175963,0.076422,0.266619,0.175468,0.151806,0.207535,0.181259,0.716086,0.541903,0.45416,0.636622,0.939046
C1,0.454023,0.909336,0.634805,0.537501,0.950045,0.729723,0.663865,0.841454,0.492614,0.454023,0.947679,0.480731,0.898789,0.434482,0.73375,0.481666,0.712298,0.258575,0.316952,0.730243,0.36563,0.611228,0.071387,0.000838,0.003596,0.000029,0.729921,0.126133,0.729921,0.126133,0.313526,0.347589,0.405546,0.311111,0.274552,0.397533,0.247315,0.430809,0.435604,0.225424,0.351456,0.294463,0.417244,0.177255,0.023216,0.059291,0.239451,0.111013,0.329021,0.103637,0.22801,0.256606,0.130663,0.71271,0.556363,0.488357,0.582905,0.934814
C1,0.635971,0.736446,0.808782,0.593643,0.891098,0.804338,0.826455,0.955754,0.68111,0.635971,0.842102,0.80208,0.706869,0.679985,0.833962,0.691674,0.834744,0.262893,0.272184,0.857495,0.21221,0.696503,0.056392,0.000003,0.000339,0.000202,0.729377,0.000564,0.729377,0.000564,0.39674,0.431921,0.456848,0.263021,0.275785,0.413621,0.275194,0.322755,0.524159,0.231415,0.412863,0.291397,0.446489,0.184692,0.051992,0.044606,0.414611,0.116564,0.382555,0.150539,0.258153,0.290029,0.120013,0.652118,0.436583,0.703153,0.404856,0.633823
C1,0.242559,0.386836,0.433361,0.103866,0.283086,0.245227,0.237304,0.547103,0.158746,0.242559,0.383773,0.542972,0.384055,0.172391,0.449136,0.265938,0.567478,0.257256,0.309607,0.289448,0.64912,0.644125,0.075696,0.000102,0.00006,0.00004,0.499356,0.010669,0.499356,0.010669,0.172718,0.178121,0.24664,0.300125,0.331131,0.34492,0.259797,0.17173,0.240041,0.212079,0.464692,0.255294,0.191393,0.358122,0.373617,0.413882,0.259486,0.250635,0.259846,0.620016,0.294514,0.492582,0.181329,0.319863,0.765637,0.520538,0.421381,0.840867
